Grouping_sku_name_new,Total_Volume,Normalised_Volume,Avg__No__of_Months_,No__of_States,Average_No__of_POS,Avg_Price,Total_Value,manufacturer,avg_number_of_POS_in_stock
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES ARIZONA ARIZONA BOTELLA 501 - 750,70,150,6,1,97.22222222,11.99333333,8890,COMPETITOR,7.777777778
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES ARIZONA ARIZONA LATA 501 - 750,121010,1493.333333,6,1,3.816636796,11.31083333,11275940,COMPETITOR,50.57043754
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES BELTICOS FRUTI QUEKO BOTELLA 501 - 750,1540,4168.333333,6,1,9.048072291,7.918333333,130500,COMPETITOR,5.157401206
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA CIEL SABORES BOTELLA 251 - 350,97870,1520,6,1,4.65845686,5.858333333,11109940,BEPENSA,77.19063018
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA FRIOLIN BOTELLA 2001 O MAS,1660,1905,6,1,2.905531712,23.39763889,58500,BEPENSA,0.755438245
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA FRUTSI BOTELLA 181 - 250,74750,1466.666667,6,1,3.473221209,4.38,7809470,BEPENSA,55.01582395
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA PULPY BOTELLA 351 - 500,50280,1218.333333,6,1,5.536966852,10.18805556,7490230,BEPENSA,75.74570654
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 1001 - 1500,680920,6178.333333,6,1,19.19744031,9.71281746,28938410,BEPENSA,289.1134511
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 2001 O MAS,159560,12282.5,6,1,7.830612217,18.8235,5835100,BEPENSA,33.43671417
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 351 - 500,41580,1880,6,1,12.89614232,4.524444444,2765880,BEPENSA,65.77032585
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOTELLA 2001 O MAS,84150,11543.33333,6,1,6.391647336,23.95222222,3052460,BEPENSA,16.61828307
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA VALLE FRUT PULPOSO CARTON 751 - 1000,12930,336.666667,6,1,2.841143181,11.16527778,736710,BEPENSA,3.835543294
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT CON JUGO BOTELLA 251 - 350,100990,1643.333333,6,1,2.741939285,5.754444444,10895610,COMPETITOR,34.76779013
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 1001 - 1500,99460,2933.333333,6,1,3.171765281,15.31194444,5888830,COMPETITOR,22.77327472
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 351 - 500,12610,646.666667,6,1,2.755725177,8.859166667,1378850,COMPETITOR,15.81786252
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 751 - 1000,106420,2988.333333,6,1,3.455755356,11.6025,7621280,COMPETITOR,31.65471906
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES GRUPO GEPP E-PURITA BOTELLA 251 - 350,18510,563.333333,6,1,2.147730437,5.526111111,1648480,COMPETITOR,6.013645224
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX AGUAS FRESCAS BOTELLA 351 - 500,17420,856.666667,6,1,5.918659543,10.21361111,2254280,COMPETITOR,38.94477979
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX BIDA CARTON 181 - 250,39810,611.666667,6,1,5.757652717,3.81,4578760,COMPETITOR,49.34308379
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX BIDA CARTON 351 - 500,131680,1585,6,1,5.804276687,6.829444444,11140380,COMPETITOR,73.48214286
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX JUMEX CAPRI SUN BOLSA 181 - 250,1210,343.333333,6,1,7.889160554,5.052222222,192410,COMPETITOR,5.916870416
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX PAU PAU BOTELLA 181 - 250,107860,855,6,1,3.356704745,3.983888889,9270970,COMPETITOR,55.3184942
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES NESTLE AGUITAS BOTELLA 251 - 350,102230,558.333333,6,1,2.185240038,5.44,8570040,COMPETITOR,14.57555106
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES NESTLE PUREZA VITAL KIDS BOTELLA 251 - 350,2410,1038.333333,6,1,6.777925898,5.984555556,250200,COMPETITOR,7.726835524
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES MI DIAL BOLSA 1001 - 1500,120,690,6,1,745.3416149,8.24,3760,COMPETITOR,7.453416149
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES OTRAS MARCAS BOTELLA 181 - 250,580,360,6,1,1.096273615,7.961375,28140,COMPETITOR,0.493323127
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES OTRAS MARCAS CARTON 181 - 250,4650,223.333333,6,1,25.37530901,5.336388889,763470,COMPETITOR,75.36466775
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES OTRAS MARCAS LATA 251 - 350,1240,195,6,1,11.03693814,24.31243386,223060,COMPETITOR,8.277703605
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PASCUAL BOING CARTON 181 - 250,30030,365,6,1,1.424603061,4.532384259,2852160,COMPETITOR,4.943372621
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PASCUAL BOING CARTON 351 - 500,25430,541.666667,6,1,2.604417904,7.837,2218800,COMPETITOR,5.912028642
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PEPSI LIVSMART CARTON 181 - 250,5110,483.333333,6,1,33.14587428,5.705,848260,COMPETITOR,66.6232073
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PEPSI LIVSMART CARTON 351 - 500,3340,120,6,1,23.97978232,8.557944444,337620,COMPETITOR,25.41856925
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PEPSI LIVSMART LATA 251 - 350,1430,645,6,1,48.87218045,8.290166667,203030,COMPETITOR,21.5037594
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES VALLE REDONDO BOB ESPONJA CARTON 181 - 250,170,50,6,1,3.003003003,4.78,23240,COMPETITOR,0.900900901
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES CAMPBELLS V8 SPLASH BOTELLA 251 - 350,1960,413.333333,6,1,11.01154527,11.46561111,392160,COMPETITOR,10.68119891
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES CAMPBELLS V8 SPLASH BOTELLA 351 - 500,21750,715,6,1,3.725870492,12.32777778,3734700,COMPETITOR,34.20349111
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE BOTELLA 181 - 250,8990,258.333333,6,1,4.17146145,7.443888889,1522760,BEPENSA,16.47727273
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE BOTELLA 351 - 500,240860,1151.666667,6,1,2.330834955,10.71933333,35317660,BEPENSA,80.64688944
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE CARTON 181 - 250,60620,653.333333,6,1,1.916032454,5.457681818,8387010,BEPENSA,26.65201143
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE CARTON 751 - 1000,74400,1785,6,1,2.459409821,16.9837037,6885380,BEPENSA,16.72398678
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE LATA 251 - 350,9700,613.333333,6,1,10.98517794,9.262222222,1482610,BEPENSA,32.07671958
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE LATA 351 - 500,12050,1168.333333,6,1,22.2715091,11.70041667,1712910,BEPENSA,33.40726365
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE NUTRIDEFENSAS CARTON 0 - 180,3310,211.666667,6,1,2.283653183,3.278611111,485950,BEPENSA,8.426680244
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX BOTELLA 181 - 250,3810,446.666667,6,1,4.225263081,7.190555556,622140,COMPETITOR,11.53496821
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX BOTELLA 351 - 500,81090,1360,6,1,4.418225078,10.91555556,11886870,COMPETITOR,61.32496408
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX CARTON 0 - 180,3900,1463.333333,6,1,3.199984246,3.5625,628300,COMPETITOR,4.927975739
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX CARTON 181 - 250,105240,1023.333333,6,1,2.501983649,5.632972884,15692860,COMPETITOR,37.15445719
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX CARTON 751 - 1000,271380,1385,6,1,2.883518048,18.08888889,25411780,COMPETITOR,36.73601993
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX LATA 251 - 350,24790,1010,6,1,4.949946437,8.455833333,3681030,COMPETITOR,42.12404418
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX LATA 351 - 500,47030,1120.833333,6,1,3.168243569,11.64492593,7050370,COMPETITOR,31.90421274
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX LATA 751 - 1000,8060,1038.333333,6,1,2.592471796,18.99361111,878320,COMPETITOR,7.751490671
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX MAS LATA 351 - 500,680,428.333333,6,1,59.44055944,12.42555556,95520,COMPETITOR,6.538461538
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX UNICO FRESCO BOTELLA 181 - 250,0,60,6,1,0,6.03,160,COMPETITOR,0
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX UNICO FRESCO CARTON 751 - 1000,52800,410,6,1,2.570699594,21.73152778,6525030,COMPETITOR,9.305932532
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX VIGOR CARTON 181 - 250,21270,265,6,1,2.90594255,3.503333333,1651380,COMPETITOR,4.707626931
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX VIGOR LATA 251 - 350,1480,595,6,1,1.060248628,6.394166667,144680,COMPETITOR,0.392291992
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PASCUAL BOING BOTELLA 351 - 500,490,250,6,1,2.360126387,8.3,66500,COMPETITOR,0.377620222
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PASTEURIZADORA LA LAGUNA NUTRI JUGO CARTON 181 - 250,20,100,6,1,2.690341673,4.360555556,5620,COMPETITOR,0.564971751
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART BOTELLA 351 - 500,1240,1115,6,1,33.76078848,9.985,177450,COMPETITOR,21.26929674
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART CARTON 181 - 250,650,341.666667,6,1,10.56927755,6.022694444,112130,COMPETITOR,9.406657019
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART CARTON 351 - 500,1490,862.5,6,1,15.08097166,9.569138889,171050,COMPETITOR,9.802631579
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART CARTON 751 - 1000,120,410,6,1,10.60820368,16.136,10640,COMPETITOR,2.97029703
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART LATA 251 - 350,1080,471.666667,6,1,11.7146824,8.218,154080,COMPETITOR,10.07462687
JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES VALLE REDONDO SONRISA PREMIUM LATA 351 - 500,20,980,6,1,3.75798572,6.69,3800,COMPETITOR,0.225479143
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS AJEMEX BIG CITRUS BOTELLA 351 - 500,9190,752,6,1,1.617528304,5.901171296,727690,COMPETITOR,4.577605101
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA BEBERE FRUT BOTELLA 351 - 500,34640,1148.333333,6,1,2.952369434,6.736666667,2839040,BEPENSA,20.10563585
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 1501 - 2000,511460,6881.666667,6,1,6.046677284,17.96666667,26940350,BEPENSA,116.2171374
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 2001 O MAS,459860,7160,6,1,5.551335256,23.98972222,21018980,BEPENSA,70.61298446
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 351 - 500,34610,1213.333333,6,1,14.84537391,6.892222222,3713960,BEPENSA,100.0578202
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 501 - 750,390050,3410,6,1,6.14766688,9.9725,37376640,BEPENSA,171.0895693
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 751 - 1000,354060,3781.666667,6,1,9.421761539,13.50861111,27530360,BEPENSA,189.3774069
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI BOTELLA 1501 - 2000,90,470,6,1,9.767744736,17.4,5020,COMPETITOR,3.32103321
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI BOTELLA 2001 O MAS,77450,4226.666667,6,1,2.213793767,24.92166667,2748750,COMPETITOR,7.925381687
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI BOTELLA 351 - 500,112760,1451.666667,6,1,3.23945465,6.528333333,8086340,COMPETITOR,50.14675798
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI LATA 501 - 750,10910,1495,6,1,5.788658262,9.986944444,904690,COMPETITOR,13.89277983
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX FRESH BOTELLA 1501 - 2000,121420,3995,6,1,2.774984205,16.89722222,5837130,COMPETITOR,16.67765507
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX FRESH BOTELLA 351 - 500,22780,581.666667,6,1,5.291005291,6.357777778,2181150,COMPETITOR,24.81481481
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX FRESH BOTELLA 501 - 750,89310,1555,6,1,3.047431214,9.090833333,7750730,COMPETITOR,32.75988555
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT BOTELLA 1501 - 2000,90,1113.333333,6,1,22.36580517,14.71375,4310,COMPETITOR,1.789264414
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT BOTELLA 2001 O MAS,750,3372,6,1,2.931130166,28.3846,30350,COMPETITOR,0.908650351
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT BOTELLA 751 - 1000,5060,3285,6,1,3.585600907,9.850666667,303660,COMPETITOR,3.011904762
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT CARTON 351 - 500,200,483.333333,6,1,54.94505495,5.136666667,13580,COMPETITOR,5.494505495
JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT CARTON 751 - 1000,0,230,6,1,0,12.15,300,COMPETITOR,0
JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO COCA COLA ADES CARTON 181 - 250,11880,1100,6,1,6.155392575,5.930833333,1717450,BEPENSA,8.555995679
JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO COCA COLA ADES CARTON 251 - 350,290,1925,6,1,17.13036801,8.43,40920,BEPENSA,3.254769921
JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO COCA COLA ADES CARTON 751 - 1000,33860,1610,6,1,6.570742112,17.616,3102970,BEPENSA,8.607672166
JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO UNILEVER ADES CARTON 181 - 250,28910,372.5,6,1,3.056203056,5.455416667,3709350,COMPETITOR,8.404558405
JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO UNILEVER ADES CARTON 251 - 350,3780,397.5,6,1,3.567666746,5.759,294690,COMPETITOR,2.033570045
JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO UNILEVER ADES CARTON 751 - 1000,65210,1025,6,1,3.176376217,17.26775,5753280,COMPETITOR,8.004468067
